Country_cat;Intercompany_cat;Overdue_cat;Agegroup_cat; Value ;Period_cat; target
Germany;N;No;0-30;30499679;Q4;125.95877128295693
Germany;N;No;120+;2013120;Q4;-21.0093678888919
Germany;N;No;31-60;11904079;Q4;-33.48341717268646
Germany;N;Yes;0-30;2700550;Q4;136.33708929958522
Germany;N;Yes;120+;3855102;Q4;129.7571406086961
Germany;N;Yes;31-60;6757866;Q4;97.03856759353246
Germany;N;Yes;61-90;2838833;Q4;127.04328235374958
Germany;N;Yes;91-120;4030666;Q4;104.40645746721285
Germany;N;No;0-30;9563837;Q4;20.809933288249557
Germany;N;No;120+;3591228;Q4;23.355666588881533
Germany;N;Yes;120+;4668302;Q4;121.87855318122777
Switzerland;N;No;0-30;6469061;Q4;-143.57600195283246
Switzerland;N;No;120+;7940593;Q4;-70.79327039358957
Switzerland;N;Yes;0-30;6345818;Q4;112.01872132900392
Switzerland;N;Yes;120+;7633643;Q4;125.5199795759309
Switzerland;N;Yes;31-60;3911401;Q4;123.88367002681245
Switzerland;N;Yes;61-90;10169195;Q4;128.2908730231866
Germany;N;No;0-30;1368971;Q4;57.60550484746952
Germany;N;No;120+;1040061;Q4;69.37359289119155
Germany;N;No;0-30;217019036;Q4;-23.95314899187424
Germany;N;No;120+;10750171;Q4;137.3432279806538
Germany;N;No;31-60;21669605;Q4;4.098520529664405
Germany;N;No;61-90;14349923;Q4;142.24356813003715
Germany;N;No;91-120;2677547;Q4;62.28368462294398
Germany;N;Yes;0-30;24696696;Q4;112.88865926984394
Germany;N;Yes;120+;11330868;Q4;112.34061866210754
Germany;N;Yes;31-60;53272647;Q4;149.88817444266414
Germany;N;Yes;61-90;5115551;Q4;117.96842610202853
Germany;N;Yes;91-120;7950089;Q4;86.0731044596343
Germany;N;No;0-30;44409862;Q4;36.009208866582554
Germany;N;No;120+;2089489;Q4;-101.62352500988256
Germany;N;No;31-60;18991741;Q4;186.10704424712404
Germany;N;Yes;0-30;11512518;Q4;136.8883230693117
Germany;N;Yes;120+;6487178;Q4;133.61492085037247
Germany;N;Yes;31-60;25789021;Q4;146.8764237092118
Germany;N;Yes;61-90;10371826;Q4;121.53775468724122
Germany;N;Yes;91-120;9362663;Q4;128.7088159474808
JV;N;No;0-30;9967351;Q4;57.94729515948426
JV;N;No;31-60;4452856;Q4;-38.01670585101753
JV;N;Yes;0-30;6751093;Q4;130.20154508947016
JV;N;Yes;120+;9769547;Q4;114.46284468066598
JV;N;Yes;31-60;4910586;Q4;115.58066384511923
JV;N;Yes;61-90;1617204;Q4;134.05382036390571
JV;N;Yes;91-120;5406848;Q4;126.95551957153975
Germany;Y;No;0-30;10795380;Q4;64.51685807892781
Germany;Y;Yes;120+;5214815;Q4;127.86763441047161
Germany;Y;Yes;31-60;2470168;Q4;130.38841719450033
Germany;Y;No;0-30;5886056;Q4;102.05021904238207
Germany;Y;Yes;0-30;6748044;Q4;104.21550350503813
Germany;Y;Yes;120+;9078475;Q4;99.13991872454905
Germany;Y;Yes;31-60;5666832;Q4;138.32138607802716
Germany;Y;Yes;61-90;1356528;Q4;114.6763071916691
Germany;Y;Yes;91-120;4446808;Q4;134.94921303129635
Germany;Y;No;0-30;2607378;Q4;-0.2847720451345719
Germany;Y;No;0-30;20906244;Q4;20.373331132270867
Germany;Y;Yes;120+;1231604;Q4;109.34187279729781
Germany;Y;Yes;61-90;4096229;Q4;106.005452179022
Germany;Y;Yes;91-120;6808041;Q4;88.7142438840449
Switzerland;Y;No;0-30;161934277;Q4;130.9158111985957
Switzerland;Y;Yes;0-30;11595186;Q4;121.02062952288675
Switzerland;Y;Yes;61-90;7309157;Q4;109.47131862560221
Germany;Y;No;0-30;23874243;Q4;47.450165170447136
Germany;Y;No;31-60;7456427;Q4;54.45935569296335
Germany;Y;No;91-120;3222044;Q4;-31.50030301494015
Germany;Y;Yes;0-30;224436;Q4;132.1144145197738
Germany;Y;Yes;120+;6688124;Q4;97.99648747205566
Germany;Y;Yes;31-60;2066479;Q4;89.9040387082132
Germany;Y;Yes;61-90;5839993;Q4;119.6696529807472
Germany;Y;Yes;91-120;9235504;Q4;89.49120741994558
Germany;Y;No;0-30;9899660;Q4;-96.46153072019922
Germany;Y;Yes;0-30;2658387;Q4;118.67584310737739
Germany;Y;Yes;91-120;836599;Q4;131.8013718085708
Germany;Y;No;0-30;1959958233;Q4;111.2702253718807
Germany;Y;No;120+;9119539;Q4;-25.798716753144433
Germany;Y;No;31-60;5934584;Q4;-84.3173557069867
Germany;Y;No;61-90;7426485;Q4;181.25136316576604
Germany;Y;Yes;0-30;520777;Q4;126.96129783006397
Germany;Y;Yes;120+;13926480;Q4;73.1992855210733
Germany;Y;Yes;31-60;25877996;Q4;93.91799215541911
Germany;Y;Yes;61-90;10718767;Q4;131.40340988923433
Germany;Y;Yes;91-120;7146236;Q4;129.95820542606987
Germany;Y;No;0-30;5085643;Q4;243.49429369721167
Germany;Y;Yes;0-30;8038858;Q4;131.48102811019476
Germany;Y;Yes;31-60;3633733;Q4;108.22231838605975
Germany;Y;No;0-30;14593605;Q4;-99.7844018969814
Germany;Y;Yes;0-30;3252909;Q4;159.15000528575996
Germany;Y;No;0-30;10635721;Q4;80.36953620251862
Germany;Y;Yes;0-30;9862420;Q4;136.28546248534758
Germany;Y;Yes;61-90;7723448;Q4;154.9086400600793
Germany;Y;No;0-30;14064114;Q4;-70.55467039891165
Germany;Y;Yes;120+;9305277;Q4;121.24136262352445
Germany;Y;Yes;31-60;10513091;Q4;104.64695099547696
Germany;Y;Yes;61-90;1084311;Q4;129.73891613291383
Germany;Y;Yes;91-120;3731456;Q4;90.02072312363521
Germany;Y;No;0-30;2087376;Q4;-48.62931503571235
Germany;Y;No;0-30;10171389;Q4;-55.334745463790426
Germany;Y;Yes;0-30;3751959;Q4;104.92093144147933
Germany;Y;No;0-30;5567252;Q4;45.61834766474148
Germany;Y;Yes;0-30;232377;Q4;118.53573256208969
JV;Y;No;0-30;2078799;Q4;56.842045959626745
Switzerland;N;No;0-30;15605375;Q3;85.71530026567544
Switzerland;N;No;31-60;23215733;Q3;30.525191195629915
Switzerland;N;No;91-120;352985;Q3;-52.02202961724494
Switzerland;N;Yes;61-90;2877463;Q3;130.8378599635492
Switzerland;N;Yes;91-120;2750307;Q3;97.5822077025584
Switzerland;Y;No;61-90;5761649;Q3;3.7390227610819036
Switzerland;Y;No;91-120;1551833;Q3;117.38727367179834
Switzerland;Y;Yes;31-60;21896571;Q3;110.60777631884035
Switzerland;Y;Yes;91-120;4788786;Q3;141.57111184530822
Switzerland;N;No;0-30;1744458;Q3;-94.37664222020467
Switzerland;N;No;120+;2644286;Q3;32.04048033771166
Switzerland;N;No;31-60;253356;Q3;-246.76151962873664
Switzerland;N;No;61-90;1519705;Q3;13.266587916603372
Switzerland;N;No;91-120;827179;Q3;31.553017529719106
Switzerland;N;Yes;0-30;1991691;Q3;106.08587734875236
Switzerland;N;Yes;120+;2305443;Q3;122.49529109953158
Switzerland;N;Yes;31-60;857821;Q3;127.53941245037211
Switzerland;N;Yes;61-90;1148202;Q3;126.40209212712445
Switzerland;N;Yes;91-120;2762501;Q3;98.5076946377834
Switzerland;N;No;120+;867324;Q3;27.496266198718146
Switzerland;N;No;61-90;1412033;Q3;158.01193835636496
Switzerland;N;Yes;0-30;-11799;Q3;-506.7470070156444
Switzerland;N;Yes;120+;3753344;Q3;139.46426850187564
Switzerland;N;Yes;31-60;857115;Q3;129.61885195421345
Switzerland;Y;No;0-30;62598008;Q3;86.87982412490317
Switzerland;Y;No;31-60;21335638;Q3;104.28186974258571
Switzerland;Y;No;61-90;2655850;Q3;38.07460227123216
Switzerland;Y;Yes;0-30;-113557;Q3;-453.53857991802704
Switzerland;Y;Yes;120+;3087005;Q3;143.7923082469575
Switzerland;Y;Yes;31-60;1626890;Q3;122.1085689934371
Switzerland;Y;Yes;61-90;8346333;Q3;93.14532624863938
Switzerland;Y;Yes;91-120;696183;Q3;144.66849787035906
Switzerland;Y;No;0-30;176926221;Q3;114.83737572491593
Switzerland;Y;No;120+;6634664;Q3;19.86997638058982
Switzerland;Y;No;31-60;12663073;Q3;-20.171624934862024
Switzerland;Y;Yes;0-30;-3246056;Q3;-514.5135297238312
Switzerland;Y;Yes;120+;77685771;Q3;110.79036999950911
Switzerland;Y;Yes;61-90;37780562;Q3;155.83045969920948
Iberia;N;No;0-30;75151087;Q3;27.98129589354252
Iberia;N;No;120+;4336201;Q3;117.35286932530161
Iberia;N;No;31-60;90226079;Q3;-85.48392003791201
Iberia;N;No;61-90;7991694;Q3;-102.67459595296819
Iberia;N;No;91-120;5871419;Q3;-24.38040553968179
Iberia;N;Yes;0-30;1315552;Q3;140.92366808245478
Iberia;N;Yes;120+;13686617;Q3;154.87098085928957
Iberia;N;Yes;31-60;11891715;Q3;90.52226979148223
Iberia;N;Yes;61-90;7328351;Q3;106.89706311177926
Iberia;N;Yes;91-120;9045230;Q3;122.18502893525309
France;N;No;0-30;14388790;Q3;5.700285866752761
France;N;No;120+;1772732;Q3;-164.19543923158432
France;N;No;31-60;25368757;Q3;147.46675545277833
France;N;No;61-90;1152190;Q3;166.31449003609984
France;N;No;91-120;10908;Q3;-45.83298196814435
France;N;Yes;0-30;2142827;Q3;138.96179044542842
France;N;Yes;120+;7277176;Q3;135.0830490415644
France;N;Yes;31-60;3458181;Q3;117.59570464804128
France;N;Yes;61-90;5858031;Q3;104.62895448057775
France;N;Yes;91-120;590790;Q3;115.30282152277293
France;N;No;0-30;98237516;Q3;-22.04671163077175
France;N;No;120+;711927;Q3;-167.09107532207724
France;N;No;31-60;2716978;Q3;-2.1366471738423876
France;N;No;61-90;5135814;Q3;85.4396246625823
France;N;Yes;0-30;1888208;Q3;81.20033411092317
France;N;Yes;120+;8059849;Q3;143.60478472116068
France;N;Yes;31-60;6725631;Q3;100.29040983865478
France;N;Yes;61-90;7784549;Q3;131.11688978395438
France;N;Yes;91-120;2906076;Q3;104.2175349464822
Italy;N;No;0-30;45750390;Q3;64.97435349891956
Italy;N;No;120+;3162099;Q3;-114.86025029756016
Italy;N;No;31-60;2335481;Q3;-198.37397422601222
Italy;N;No;61-90;6639021;Q3;77.03713690797406
Italy;N;No;91-120;2677452;Q3;-25.94441648114568
Italy;N;Yes;0-30;-3613505;Q3;-497.74159443662575
Italy;N;Yes;120+;20760437;Q3;148.09634804176392
Italy;N;Yes;31-60;695962;Q3;96.82127771325693
Italy;N;Yes;61-90;10378689;Q3;134.67749009685605
Italy;N;Yes;91-120;8402883;Q3;126.31167912093056
Iberia;N;No;0-30;20669551;Q3;78.80760444176326
Iberia;N;No;31-60;34732800;Q3;-88.42482228704232
Iberia;N;Yes;31-60;3611182;Q3;130.57165201401534
Iberia;N;Yes;91-120;6577911;Q3;106.2198080704759
Iberia;Y;No;0-30;4863451;Q3;126.54494775520985
Iberia;Y;No;31-60;38455317;Q3;42.81978297387802
Iberia;Y;No;61-90;460675;Q3;-85.53192932742509
Iberia;Y;Yes;0-30;377628;Q3;107.06142185135728
Iberia;Y;Yes;120+;4323370;Q3;103.0140753833773
Iberia;Y;Yes;31-60;1905760;Q3;129.47927921920535
Iberia;Y;Yes;61-90;1436256;Q3;93.19842012443958
Iberia;Y;Yes;91-120;3561154;Q3;114.09593583408757
France;Y;No;0-30;140553;Q3;1.4406195631986467
France;Y;No;31-60;19651556;Q3;4.34358123268872
France;Y;No;61-90;4886348;Q3;-40.13979381686616
France;Y;No;91-120;160611;Q3;-166.11659371680898
France;Y;Yes;0-30;1220;Q3;81.48788522863178
France;Y;Yes;120+;1927405;Q3;122.82380355626137
France;Y;Yes;61-90;224161;Q3;93.86235307760117
France;Y;Yes;91-120;1784616;Q3;103.48554351274133
France;Y;No;0-30;34636516;Q3;-61.837330889041176
France;Y;No;31-60;6663444;Q3;-220.00226045535734
France;Y;No;61-90;2214119;Q3;73.2766973116039
France;Y;No;91-120;5392507;Q3;93.78740536150512
France;Y;Yes;0-30;1100425;Q3;112.2042827789651
France;Y;Yes;120+;5629739;Q3;116.56751993704094
France;Y;Yes;31-60;4593562;Q3;97.78773468133576
France;Y;Yes;61-90;3852395;Q3;111.87592246977945
France;Y;Yes;91-120;315069;Q3;109.20148251967223
Italy;Y;No;0-30;2236894;Q3;-215.31061815909248
Italy;Y;No;31-60;3590554;Q3;40.087061953063575
Italy;Y;No;61-90;1556222;Q3;-69.58191916697241
Italy;Y;Yes;0-30;1022854;Q3;134.93565218518634
Italy;Y;Yes;120+;8579434;Q3;80.05506328859411
Italy;Y;Yes;31-60;8423448;Q3;101.18981755916487
Italy;Y;Yes;61-90;-6867658;Q3;-507.69332126052126
Italy;Y;Yes;91-120;24180;Q3;134.27514937381022
Iberia;Y;Yes;120+;2696970;Q3;106.92740326263848
Iberia;Y;Yes;91-120;948022;Q3;133.21035995910938
Nordics;N;No;0-30;1054311;Q3;124.14986305312422
Nordics;N;No;120+;783416;Q3;-162.98538224547016
Nordics;N;No;31-60;8148587;Q3;152.51663981404045
Nordics;N;No;61-90;5231351;Q3;-85.70798699671792
Nordics;N;Yes;0-30;366249;Q3;118.7618034998564
Nordics;N;Yes;120+;1002868;Q3;134.15756118552432
Nordics;N;Yes;31-60;6670576;Q3;145.10649738267094
Nordics;N;Yes;61-90;1681359;Q3;120.102025735973
Nordics;N;Yes;91-120;2489828;Q3;91.89289915363062
Cyprus;N;No;0-30;13414438;Q3;25.091293827254944
Cyprus;N;No;120+;219957;Q3;43.152436314482536
Cyprus;N;No;31-60;2718400;Q3;36.29054848879153
Cyprus;N;No;61-90;1953437;Q3;46.80487647016661
Cyprus;N;No;91-120;1521695;Q3;-77.68878941201413
Cyprus;N;Yes;0-30;-296860;Q3;-492.7751444698138
Cyprus;N;Yes;120+;15819122;Q3;44.91183884828961
Cyprus;N;Yes;31-60;12466539;Q3;134.68888117520623
Cyprus;N;Yes;61-90;4328194;Q3;127.55025319074784
Cyprus;N;Yes;91-120;5357258;Q3;76.91808986875594
Nordics;N;No;0-30;8739646;Q3;-163.32754227822753
Nordics;N;No;120+;4819758;Q3;79.8938658076095
Nordics;N;No;31-60;2033185;Q3;-187.9736745365274
Nordics;N;No;61-90;-560053;Q3;-513.5605768367228
Nordics;N;No;91-120;2045052;Q3;-53.20675909462197
Nordics;N;Yes;0-30;4656722;Q3;121.90805644272659
Nordics;N;Yes;120+;6836370;Q3;127.18850127372957
Nordics;N;Yes;31-60;2771480;Q3;90.31765180705877
Nordics;N;Yes;61-90;4828436;Q3;104.27321917635355
Nordics;N;Yes;91-120;1610380;Q3;109.11096256026337
Nordics;Y;No;0-30;2445318;Q3;-12.753737387754562
Nordics;Y;No;31-60;134535;Q3;-162.7990835837363
Nordics;Y;Yes;0-30;1990832;Q3;89.92116028620035
Nordics;Y;Yes;120+;3431303;Q3;115.20674278969875
Nordics;Y;Yes;31-60;365185;Q3;94.43004702119
Nordics;Y;Yes;61-90;7108479;Q3;119.43471680718262
Nordics;Y;Yes;91-120;215539;Q3;124.19152603090036
Cyprus;Y;No;0-30;4648012;Q3;-97.878445063275
Cyprus;Y;No;31-60;159861;Q3;-21.26477649954525
Cyprus;Y;Yes;0-30;3840472;Q3;135.75178839610587
Cyprus;Y;Yes;120+;1338825;Q3;98.71444570973713
Cyprus;Y;Yes;31-60;547810;Q3;118.9741981715278
Cyprus;Y;Yes;61-90;4002393;Q3;119.58779311706444
Cyprus;Y;Yes;91-120;2231414;Q3;96.64736245852531
Nordics;Y;No;0-30;11246688;Q3;-81.25802263097134
Nordics;Y;No;31-60;766679;Q3;-27.706759388304206
Nordics;Y;Yes;0-30;1488263;Q3;64.82112783384564
Nordics;Y;Yes;120+;253742;Q3;87.52924228505488
Nordics;Y;Yes;31-60;3334686;Q3;99.52193488893033
Nordics;Y;Yes;61-90;2848224;Q3;81.86884361714387
Nordics;Y;Yes;91-120;226694;Q3;115.77168972704779
UK;N;No;0-30;27315375;Q3;-15.566688136398916
UK;N;No;120+;344658;Q3;50.054337450898736
UK;N;No;31-60;33847380;Q3;36.743149064940916
UK;N;No;61-90;2704664;Q3;-24.871874096230997
UK;N;No;91-120;2309944;Q3;-64.62764035300387
UK;N;Yes;0-30;14113055;Q3;123.55698445608506
UK;N;Yes;120+;8517184;Q3;80.81162978065674
UK;N;Yes;31-60;38857276;Q3;92.83571982600425
UK;N;Yes;61-90;11144111;Q3;119.00555558321932
UK;N;Yes;91-120;1603633;Q3;98.44760519455508
Italy;N;No;0-30;78533605;Q3;-52.93857738737561
Italy;N;No;120+;9344994;Q3;3.41983447270618
Italy;N;No;31-60;65873869;Q3;-124.57889022885622
Italy;N;No;61-90;1580541;Q3;67.48166607596465
Italy;N;No;91-120;6812082;Q3;-11.3448975572563
Italy;N;Yes;0-30;-13998487;Q3;-492.834064334689
Italy;N;Yes;120+;62891991;Q3;120.42283325861543
Italy;N;Yes;31-60;6731503;Q3;123.06831030089214
Italy;N;Yes;61-90;7388925;Q3;91.80633797205655
Italy;N;Yes;91-120;7400960;Q3;119.78953974888384
Iberia;N;No;120+;4346009;Q3;-270.41129470431355
Iberia;N;No;61-90;2303750;Q3;-4.117929876355092
Iberia;N;No;91-120;298618;Q3;-15.014062654926143
Iberia;N;Yes;0-30;9057394;Q3;117.59657977862506
Iberia;N;Yes;120+;8557208;Q3;107.64204273710469
Iberia;N;Yes;61-90;404417;Q3;98.24039319317362
CISregion;N;No;0-30;341212;Q3;-92.63426958501826
CISregion;N;No;31-60;30046958;Q3;70.62826043900316
CISregion;N;No;61-90;3352073;Q3;38.39362761397132
CISregion;N;No;91-120;763510;Q3;188.51970371142818
CISregion;N;Yes;0-30;151033;Q3;86.26027072099347
CISregion;N;Yes;120+;3032096;Q3;65.01128481200074
CISregion;N;Yes;31-60;6067401;Q3;109.71252104480678
CISregion;N;Yes;61-90;3809492;Q3;125.76714025771673
CISregion;N;Yes;91-120;1108070;Q3;111.55575507988783
UK;Y;No;0-30;12773519;Q3;11.32032851603983
UK;Y;No;31-60;49265;Q3;-56.704226580663274
UK;Y;Yes;0-30;-2691972;Q3;-513.2995496713893
UK;Y;Yes;120+;5038371;Q3;117.0281380290488
UK;Y;Yes;31-60;1410201;Q3;117.6422344085869
UK;Y;Yes;61-90;842094;Q3;87.5949604509212
UK;Y;Yes;91-120;1318916;Q3;146.41264498384757
Italy;Y;No;0-30;20337738;Q3;213.2313208854861
Italy;Y;No;31-60;6227550;Q3;-150.07617028369856
Italy;Y;Yes;0-30;-4591;Q3;-517.7846227304328
Italy;Y;Yes;120+;4969356;Q3;122.42232934952054
Italy;Y;Yes;31-60;2139966;Q3;80.34962228118683
Italy;Y;Yes;61-90;466151;Q3;151.24589054547502
Italy;Y;Yes;91-120;105520;Q3;116.84346130351214
Iberia;Y;No;0-30;5044644;Q3;54.47867122002336
Iberia;Y;No;31-60;2103656;Q3;34.99829138768278
Iberia;Y;No;61-90;1411530;Q3;188.65767770562042
Iberia;Y;Yes;0-30;3803822;Q3;93.36401869678747
Iberia;Y;Yes;31-60;2153657;Q3;71.74303806846899
Iberia;Y;Yes;61-90;634178;Q3;114.44487274298142
CISregion;Y;No;0-30;4184974;Q3;-127.56641008397598
CISregion;Y;No;31-60;1513731;Q3;78.7052529086566
CISregion;Y;No;61-90;388306;Q3;26.15952596645229
CISregion;Y;No;91-120;1275442;Q3;-123.97984190867405
CISregion;Y;Yes;0-30;-1687322;Q3;-470.92749008353206
CISregion;Y;Yes;120+;-1190323;Q3;-475.8170029624554
CISregion;Y;Yes;31-60;-190626;Q3;-498.0929244332863
UK;N;No;0-30;4749503;Q3;34.5401259964445
UK;N;No;31-60;2742868;Q3;-25.707778229111806
UK;N;Yes;0-30;2405915;Q3;116.68025480992921
UK;N;Yes;120+;8201293;Q3;98.35154863571746
UK;N;Yes;31-60;279796;Q3;143.02249319478207
UK;N;Yes;61-90;5207868;Q3;123.22538408046903
UK;N;Yes;91-120;6237619;Q3;114.08372239644503
Nordics;N;No;0-30;6895504;Q3;120.63587453939986
Nordics;N;No;31-60;-261658;Q3;-530.7645527709353
Nordics;N;Yes;0-30;2658403;Q3;111.79893548032716
Nordics;N;Yes;120+;2290541;Q3;93.13640873092514
Nordics;N;Yes;31-60;125313;Q3;120.68322303320521
Nordics;N;Yes;61-90;1765235;Q3;69.43710919886834
Nordics;N;Yes;91-120;5750424;Q3;129.95393491345789
JV;N;No;0-30;4867662;Q3;-111.76398566061967
JV;N;No;31-60;3623604;Q3;52.82012413370348
JV;N;No;61-90;9335295;Q3;-11.379666215284693
JV;N;Yes;0-30;4500021;Q3;97.28619105316203
JV;N;Yes;120+;3732164;Q3;108.7518490266176
JV;N;Yes;31-60;36112;Q3;156.0598557984083
JV;N;Yes;61-90;-26673;Q3;-503.98511401893694
JV;N;Yes;91-120;901434;Q3;100.50643830524339
UK;Y;No;0-30;3137982;Q3;-4.128487765860543
UK;Y;No;31-60;10742981;Q3;-13.608615561408296
UK;Y;No;61-90;12849483;Q3;-84.9775876158891
UK;Y;No;91-120;158441;Q3;114.95809539627705
UK;Y;Yes;0-30;1197349;Q3;132.41022215169593
UK;Y;Yes;120+;22619825;Q3;128.7899478931015
UK;Y;Yes;31-60;779036;Q3;121.39020040992497
UK;Y;Yes;61-90;3924516;Q3;93.25857783369948
UK;Y;Yes;91-120;2855287;Q3;142.4466197201462
Nordics;Y;No;0-30;19053212;Q3;-91.9186212176054
Nordics;Y;No;31-60;724186;Q3;108.54324408148946
Nordics;Y;No;61-90;85708;Q3;-24.113541422425108
Nordics;Y;No;91-120;2104853;Q3;-99.14346108799913
Nordics;Y;Yes;0-30;5989264;Q3;136.02632608792536
Nordics;Y;Yes;120+;3433670;Q3;128.34935063979668
Nordics;Y;Yes;31-60;9165085;Q3;145.20601337859475
Nordics;Y;Yes;61-90;2374914;Q3;120.78218606689916
Nordics;Y;Yes;91-120;2812926;Q3;129.2986197543386
JV;Y;No;0-30;108362981;Q3;20.136726361929217
JV;Y;No;31-60;7523937;Q3;22.90994217616886
JV;Y;No;61-90;1339050;Q3;-66.43225728641295
JV;Y;Yes;0-30;1544927;Q3;77.17763648819212
JV;Y;Yes;120+;1581465;Q3;96.14255598221268
JV;Y;Yes;31-60;69278704;Q3;122.33402493755568
JV;Y;Yes;61-90;2289216;Q3;82.56001176917255
JV;Y;Yes;91-120;3179197;Q3;110.92265549037307
Iberia;N;No;0-30;3045538;Q3;-39.86332782488266
Iberia;N;No;120+;3633723;Q3;94.03914805972974
Iberia;N;No;31-60;1395861;Q3;0.5043821900783705
Iberia;N;No;61-90;4461159;Q3;194.76640907743138
Iberia;N;No;91-120;2370530;Q3;157.11432968759846
Iberia;N;Yes;0-30;316966;Q3;123.4620432709966
Iberia;N;Yes;120+;705643;Q3;117.70711278325294
Iberia;N;Yes;31-60;5566451;Q3;112.07209317751285
Iberia;N;Yes;61-90;1808119;Q3;129.18966666511128
Iberia;N;Yes;91-120;533981;Q3;142.04571947770887
France;N;No;0-30;8534552;Q3;-41.1660662940285
France;N;No;120+;4482022;Q3;5.0373699419152445
France;N;No;31-60;14759118;Q3;56.46851307540689
France;N;No;61-90;2904156;Q3;-53.0015460601062
France;N;No;91-120;844585;Q3;91.10968331002816
France;N;Yes;0-30;59538;Q3;127.58962258367036
France;N;Yes;120+;3325104;Q3;118.85540970330788
France;N;Yes;31-60;1018370;Q3;113.35142053584453
France;N;Yes;61-90;5069123;Q3;113.71997686156172
France;N;Yes;91-120;1244338;Q3;99.48056154609978
UK;N;No;0-30;53242192;Q3;2.326343304382638
UK;N;No;120+;430285;Q3;-30.265282935337346
UK;N;No;31-60;11123313;Q3;121.03908931975147
UK;N;No;61-90;2290345;Q3;174.87802507931505
UK;N;Yes;0-30;2770960;Q3;106.56473629080617
UK;N;Yes;120+;2169317;Q3;95.07872781918792
UK;N;Yes;31-60;18657649;Q3;116.25169113920617
UK;N;Yes;61-90;10273910;Q3;109.374853042055
UK;N;Yes;91-120;5379726;Q3;120.57978469679641
Iberia;Y;No;0-30;3041700;Q3;61.704093225623566
Iberia;Y;Yes;0-30;3603593;Q3;112.12076301916598
Iberia;Y;Yes;120+;4440260;Q3;95.51481755751716
Iberia;Y;Yes;31-60;4868500;Q3;151.3744433689215
Iberia;Y;Yes;61-90;3490754;Q3;112.85963698835727
Iberia;Y;Yes;91-120;2455922;Q3;127.63835457662779
France;Y;No;0-30;1850244;Q3;81.83069153796345
France;Y;No;31-60;2271764;Q3;-43.57049599023256
France;Y;Yes;120+;1591550;Q3;109.0914525430604
France;Y;Yes;31-60;2294388;Q3;103.60645005225959
France;Y;Yes;61-90;5675380;Q3;110.03425366369822
France;Y;Yes;91-120;112144;Q3;104.62918267787177
UK;Y;No;0-30;636218;Q3;-24.34522891301524
UK;Y;Yes;120+;5325200;Q3;101.44824686921613
UK;Y;Yes;31-60;38717;Q3;97.88105524317955
Adriatic;N;No;0-30;3038227;Q3;69.70843098502846
Adriatic;N;No;120+;28471;Q3;35.17400467676272
Adriatic;N;No;31-60;3925610;Q3;89.31887499027853
Adriatic;N;No;61-90;2583854;Q3;5.295142263887479
Adriatic;N;No;91-120;469351;Q3;8.493084852644547
Adriatic;N;Yes;0-30;376995;Q3;133.66629448133045
Adriatic;N;Yes;120+;2794844;Q3;146.5306139171771
Adriatic;N;Yes;31-60;7344234;Q3;131.95207655233256
Adriatic;N;Yes;61-90;602941;Q3;105.90643594730066
Adriatic;N;Yes;91-120;2207003;Q3;130.6545219305411
Adriatic;Y;No;0-30;5253052;Q3;-189.83336067987264
Adriatic;Y;Yes;0-30;22405;Q3;95.92124914080681
Adriatic;Y;Yes;120+;1196394;Q3;125.84363141306406
Adriatic;Y;Yes;31-60;1613100;Q3;126.42682449765822
Adriatic;Y;Yes;61-90;6522;Q3;125.75414331177824
Adriatic;Y;Yes;91-120;3229856;Q3;105.99728038075374
Belgium;N;No;0-30;22438405;Q3;-115.58148173448146
Belgium;N;No;120+;1128643;Q3;-71.45332748483511
Belgium;N;No;31-60;19411636;Q3;103.36442691428836
Belgium;N;No;61-90;57049;Q3;20.98516340724634
Belgium;N;No;91-120;7439956;Q3;16.09670658572321
Belgium;N;Yes;0-30;7177363;Q3;134.4635086562626
Belgium;N;Yes;120+;13861471;Q3;127.02695659563736
Belgium;N;Yes;31-60;6103889;Q3;140.51342081850717
Belgium;N;Yes;61-90;13237231;Q3;126.22956677856865
Belgium;N;Yes;91-120;9900817;Q3;152.10528622871144
UK;N;No;0-30;12424369;Q3;16.716804996562356
UK;N;No;120+;5229622;Q3;106.30667235403004
UK;N;No;31-60;2445977;Q3;-18.247259554537504
UK;N;No;61-90;2900773;Q3;-54.04513534115512
UK;N;No;91-120;1940352;Q3;-60.79543604804425
UK;N;Yes;0-30;6473699;Q3;91.73349381638234
UK;N;Yes;120+;2270135;Q3;119.50057578778961
UK;N;Yes;31-60;1297058;Q3;118.00606452853339
UK;N;Yes;61-90;2324573;Q3;94.05603052069014
UK;N;Yes;91-120;5298013;Q3;128.64865942170695
Belgium;Y;No;0-30;5472211;Q3;180.22556018710208
Belgium;Y;Yes;120+;859665;Q3;135.93519222650906
Belgium;Y;Yes;31-60;598048;Q3;121.27343763761539
Belgium;Y;Yes;61-90;237487;Q3;131.29301083115254
Belgium;Y;Yes;91-120;2963176;Q3;94.7589502849095
UK;Y;No;0-30;5050750;Q3;12.164279008313835
UK;Y;Yes;120+;1824160;Q3;115.48041226792623
UK;Y;Yes;31-60;1292919;Q3;127.70732540308617
UK;Y;Yes;91-120;1791521;Q3;97.381855180458
Iberia;N;No;0-30;10304719;Q3;-13.398862457418783
Iberia;N;No;31-60;2015331;Q3;43.599994230451806
Iberia;N;No;61-90;8311998;Q3;-1.255316366475265
Iberia;N;Yes;0-30;830257;Q3;120.39302925275574
